Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-01 00:00:00,6926.5,7033.91,6920.51,6983.6,346.27,2423801.05,6999.71
2018-04-01 01:00:00,6982.89,7045.71,6970.29,7003.87,224.85,1574944.14,7004.31
2018-04-01 02:00:00,7003.17,7016.61,6899.92,6923.87,347.42,2419862.66,6965.25
2018-04-01 03:00:00,6929.99,6959.55,6901.57,6928.01,128.47,891089.75,6936.43
2018-04-01 04:00:00,6928.14,6970.4,6921,6937.62,125.67,873704.43,6952.54
2018-04-01 05:00:00,6946.99,6970,6913.09,6934.14,169.8,1177122.4,6932.23
2018-04-01 06:00:00,6926.11,6933.21,6814.59,6851.5,709.76,4871598.23,6863.77
2018-04-01 07:00:00,6851.36,6857.79,6669,6704,1217.56,8191596.46,6727.87
2018-04-01 08:00:00,6706.28,6742.96,6685.96,6700,382.21,2562812.17,6705.26
2018-04-01 09:00:00,6700,6750,6592.56,6732,916.84,6108260.02,6662.29
2018-04-01 10:00:00,6738.27,6743.82,6655,6708.17,296.59,1987449.69,6701.03
2018-04-01 11:00:00,6707.99,6725.97,6650.03,6692.77,375.06,2508236.58,6687.51
2018-04-01 12:00:00,6684.87,6740.29,6675.67,6693.94,263.17,1765933.55,6710.21
2018-04-01 13:00:00,6698.71,6704.31,6532.65,6532.65,1509.01,9931640.15,6581.57
2018-04-01 14:00:00,6538.72,6551.56,6437.9,6502.89,2356.17,15281804.79,6485.85
2018-04-01 15:00:00,6500.24,6536.82,6429.23,6429.36,1369.59,8874575.56,6479.71
2018-04-01 16:00:00,6429.36,6894.8,6427.16,6794.24,3375.48,22717702.37,6730.22
2018-04-01 17:00:00,6794.24,6861.72,6769.29,6830.38,692.19,4725225.37,6826.48
2018-04-01 18:00:00,6830.38,6861.72,6740.67,6818.64,1050.46,7143946.06,6800.81
2018-04-01 19:00:00,6821.86,6990.8,6806.9,6910.39,1030.54,7131065.87,6919.75
